NatureID||Nature||Code||Libelle||Etat||DateCreation
85|244220 Outillage de travaux publics|244220|Outillage de travaux publics|NULL|NULL
86|244300 Mat,riel et outillage agricole et forestier|244300|Mat,riel et outillage agricole et forestier|NULL|NULL
87|244320 Outillage agricole et forestier|244320|Outillage agricole et forestier|NULL|NULL
88|244400 Mat,ri,l bio-m,dical|244400|Mat,ri,l bio-m,dical|NULL|NULL
89|244500 Mat,riel et outillage audiovisuel et t,l,communications|244500|Mat,riel et outillage audiovisuel et t,l,communications|NULL|NULL
90|244510 Mat,riel  audiovisuel et t,l,communications|244510|Mat,riel  audiovisuel et t,l,communications|NULL|NULL
91|244520 Outillage audiovisuel et t,l,communications|244520|Outillage audiovisuel et t,l,communications|NULL|NULL
92|244610 Mat,riel minier, ,nerg,tique et hydraulique|244610|Mat,riel minier, ,nerg,tique et hydraulique|NULL|NULL
93|244620 Outillage minier, ,nerg,tique et hydraulique|244620|Outillage minier, ,nerg,tique et hydraulique|NULL|NULL
94|244700 Mat,riel de s,curit, et de s-ret,|244700|Mat,riel de s,curit, et de s-ret,|NULL|NULL
95|244900 Autres mat,riels et outillages techniques|244900|Autres mat,riels et outillages techniques|NULL|NULL
96|245100 V,hicules de transports en commun (autocars, autobus, minicars)|245100|V,hicules de transports en commun (autocars, autobus, minicars)|NULL|NULL
97|245200 V,hicules de transports utilitaires (ambulances, camions, camionnettes, corbillards )|245200|V,hicules de transports utilitaires (ambulances, camions, camionnettes, corbillards )|NULL|NULL
98|245300 Mat,riel de transport ferroviaire|245300|Mat,riel de transport ferroviaire|NULL|NULL
99|245400 Mat,riel de transport fluvial|245400|Mat,riel de transport fluvial|NULL|NULL
100|245500 Mat,riel de transport maritime|245500|Mat,riel de transport maritime|NULL|NULL
101|245600 Mat,riel de transport a,rien|245600|Mat,riel de transport a,rien|NULL|NULL
102|246100 Peintures|246100|Peintures|NULL|NULL
103|246200 Sculptures|246200|Sculptures|NULL|NULL
104|246300 Photographies et audiovisuel |246300|Photographies et audiovisuel |NULL|NULL
105|246400 Litt,rature|246400|Litt,rature|NULL|NULL
106|246500 Architectures|246500|Architectures|NULL|NULL
107|246900 Autres collections- ouvres d'art|246900|Autres collections- ouvres d'art|NULL|NULL
108|247100 Stocks strat,giques ou d'urgence de carburants|247100|Stocks strat,giques ou d'urgence de carburants|NULL|NULL
109|247200 Stocks de c,r,ales et autres produits alimentaires essentiels|247200|Stocks de c,r,ales et autres produits alimentaires essentiels|NULL|NULL
110|247300 Stocks de r,gulation des march,s|247300|Stocks de r,gulation des march,s|NULL|NULL
111|247400 Stocks de produits pharmaceutiques|247400|Stocks de produits pharmaceutiques|NULL|NULL
112|247900 Autres stocks|247900|Autres stocks|NULL|NULL
113|248100 Cheptel de trait|248100|Cheptel de trait|NULL|NULL
114|248200 Cheptel de reproduction|248200|Cheptel de reproduction|NULL|NULL
115|248900 Autres cheptels|248900|Autres cheptels|NULL|NULL
116|251000 BŸtiments militaires|251000|BŸtiments militaires|NULL|NULL
117|252100 Ouvrages et infrastructures militaires|252100|Ouvrages et infrastructures militaires|NULL|NULL
118|253100 Mobilier|253100|Mobilier|NULL|NULL
119|253200 Mat,riel et outillage (autre qu'informatique)|253200|Mat,riel et outillage (autre qu'informatique)|NULL|NULL
120|253300 Mat,riel informatique|253300|Mat,riel informatique|NULL|NULL
121|253400 Voitures de fonction ou de service|253400|Voitures de fonction ou de service|NULL|NULL
122|253500 V,hicules de transports en commun militaires|253500|V,hicules de transports en commun militaires|NULL|NULL
123|253600 V,hicules de transports utilitaires militaires|253600|V,hicules de transports utilitaires militaires|NULL|NULL
124|253700 Mat,riels de transport fluvial et maritime militaires|253700|Mat,riels de transport fluvial et maritime militaires|NULL|NULL
125|253710 Mat,riels de transport fluvial militaires|253710|Mat,riels de transport fluvial militaires|NULL|NULL
126|253720 Mat,riels de transport maritime militaires|253720|Mat,riels de transport maritime militaires|NULL|NULL
127|253800 Mat,riels de transport a,rien militaires|253800|Mat,riels de transport a,rien militaires|NULL|NULL
128|253900 Autres ,quipements militaires|253900|Autres ,quipements militaires|NULL|NULL
129|261100 Prises de participations dans des entreprises publiques nationales|261100|Prises de participations dans des entreprises publiques nationales|NULL|NULL
130|261110 Participations majoritaires|261110|Participations majoritaires|NULL|NULL
131|261120 Participations minoritaires avec minorit, de blocage|261120|Participations minoritaires avec minorit, de blocage|NULL|NULL
132|261130 Participations minoritaires sans minorit, de blocage|261130|Participations minoritaires sans minorit, de blocage|NULL|NULL
133|261140 Titres de placement|261140|Titres de placement|NULL|NULL
134|261210 Participations majoritaires|261210|Participations majoritaires|NULL|NULL
